09:00:22,37.60,2,4,42.84_42.85_,1_2_,37.60_37.20_36.80_,1_4_5_
11:17:38,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_36.80_,5_10_10_10_5_
11:17:43,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_36.80_,5_10_10_10_5_
11:18:14,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_36.80_,5_10_10_10_5_
11:18:19,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.08_37.95_37.94_37.93_36.80_,5_10_10_10_5_
11:18:24,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.08_37.88_37.87_37.86_36.80_,5_10_10_10_5_
11:20:12,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.16_37.96_37.95_37.94_36.80_,5_10_10_10_5_
11:20:28,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.09_37.96_37.95_37.94_36.80_,5_10_10_10_5_
11:21:14,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,38.09_37.96_37.95_37.94_36.80_,5_10_10_10_5_
11:22:15,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.16_37.95_37.94_37.93_36.80_,5_10_10_10_5_
11:23:47,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.16_37.96_37.95_37.94_36.80_,5_10_10_10_5_
11:25:45,37.93,3,14,38.36_38.37_42.84_42.85_,10_10_1_2_,38.17_37.97_37.96_37.95_36.80_,5_10_10_10_5_
11:26:00,37.93,3,14,38.36_38.37_42.84_42.85_,10_10_1_2_,38.18_37.97_37.96_37.95_36.80_,5_10_10_10_5_
11:26:06,37.93,3,14,38.36_38.37_42.84_42.85_,10_10_1_2_,38.17_37.98_37.97_37.96_36.80_,5_10_10_10_5_
11:27:12,37.93,3,14,38.36_38.37_42.84_42.85_,10_10_1_2_,38.10_37.98_37.97_37.96_36.80_,5_10_10_10_5_
